$\delta_L$,$\gamma_L$,$n_y$,$\theta_L$,$\eta_x$,$\omega_x$,$m_x$,$\delta_x$,$\gamma_x$,$\theta_x$,$\rho_x$,$N_{toggle\ not}$,$N_{S}$,$N_{I}$,$N_{out}$
0.19223791985687383,0.86081414877514,1.5969530724518979,0.26030343840800746,0.27043239552773746,335.0573718976509,2.047903794371737,0.02959785639856314,0.07383815186879505,0.08566623933564321,6.685687447082966,2.2480794779385254,1.9165343777645834,1.0319558983466564,1.6752009579772076
0.2790282747840167,0.7306638699178607,1.1889977851155253,0.3948552836324287,0.15873502813423512,396.78058022948244,1.5716421524490682,0.02828903996792502,0.3144902933421847,0.2504958173767948,4.522234347934408,1.2927961980151341,1.610724933822533,1.6276519587461555,2.5559251699760885
0.1834768946729631,0.12391703528684195,1.9331575130223366,0.1757396637085973,0.20165169626762233,614.981188131692,2.8758601056542625,0.016384678797619363,0.29340656435037704,0.10009299364697154,6.76293476445789,2.5458851428908784,2.2673107774773853,0.5533568826322106,0.8624635717552059
0.15577332440543373,0.4562630138526556,2.15313108384615,0.010679223631327006,0.4247065898103741,276.64974151120657,1.5121407543365846,0.02296140186489853,0.8229779241397268,0.3727139049066206,6.220867491195729,1.8174695977191733,2.2644401536420884,0.7131023353608843,1.1627614354473097
0.07258729327225508,0.32385981682255716,1.4394149716777533,0.42382596951392737,0.34360924078972277,489.5271765079168,1.6899907492996327,0.03140993669588157,0.5615363664031212,0.5796326949975832,3.2271839606837722,0.6380572031549177,0.7968621698719695,0.756962559147184,1.329278834627011
0.140559207466244,0.19109341193248863,2.8514236248811677,0.16579247173670097,0.24188849611604007,537.4116988463271,1.6164768898479276,0.027892147008469235,0.26564271389260796,0.33035724078431294,4.995374161195917,1.2149297509182688,2.412609040940078,0.5942384830385481,1.1033101475901999
0.08760422514262536,0.26795892581266634,1.7384319302625382,0.31378296953825946,0.4743338662224944,184.10574355551182,1.5114413144596806,0.03773746253644779,0.6126455104170184,0.4134550637297501,3.6493239290399666,1.0121743479180263,1.2799418424185385,1.0266667869247703,2.2124800250042496
0.2992817181680029,1.0602592933872812,1.4194580719109082,0.35844173016449593,0.3952823992773171,635.7858974546991,1.321451832066488,0.018951208140970264,0.3714496481984823,0.2505605927542562,1.9314410883911841,1.0743438398829503,0.7939350217670994,2.262142877127622,0.12775510817418922
0.06818104136599713,0.2701418005372892,1.9672763048395123,0.08277959168563924,0.24831493989535214,196.77683157881881,1.5173877431223537,0.017315390673112933,0.5644421297482468,0.1272776559205026,5.63139382991853,1.2602369897874102,2.396912985145976,0.3657392986869137,3.1194389293256473
0.24180695038479857,1.0963886618178682,2.279525412479061,0.26134849081413863,0.28995980691458834,366.3730275361461,1.7394205976722856,0.032766971360334726,0.2795432460065039,0.02180275213553376,9.528732283382755,0.6328156805990464,3.0024087800602537,1.501121360194594,2.4749741360150384
